DATAFLOW,LAST UPDATE,freq,unit,tra_meas,rep_airp,schedule,tra_cov,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2023-09,44918,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2023-10,30495,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2023-11,28024,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2023-12,104659,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2024-01,158904,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2024-02,180334,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2024-03,190551,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2024-04,33972,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2024-05,24186,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2024-06,33650,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2024-07,34624,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2024-08,35064,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2023-01,7147,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2023-02,8764,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2023-03,7283,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2023-04,9569,
